Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Norwich,0,0,0,0,0,0,0,0
2,Wrexham,0,0,0,0,0,0,0,0
3,Oxford Utd,0,0,0,0,0,0,0,0
4,Swansea,0,0,0,0,0,0,0,0
5,Bristol City,0,0,0,0,0,0,0,0
6,Watford,0,0,0,0,0,0,0,0
7,Stoke,0,0,0,0,0,0,0,0
8,Southampton,0,0,0,0,0,0,0,0
9,Sheffield Utd,0,0,0,0,0,0,0,0
10,Sheff Wed,0,0,0,0,0,0,0,0
11,QPR,0,0,0,0,0,0,0,0
12,Preston,0,0,0,0,0,0,0,0
13,Birmingham,0,0,0,0,0,0,0,0
14,Millwall,0,0,0,0,0,0,0,0
15,Leicester,0,0,0,0,0,0,0,0
16,Ipswich,0,0,0,0,0,0,0,0
17,Hull,0,0,0,0,0,0,0,0
18,Derby,0,0,0,0,0,0,0,0
19,Coventry,0,0,0,0,0,0,0,0
20,West Brom,0,0,0,0,0,0,0,0
21,Portsmouth,0,0,0,0,0,0,0,0
22,Middlesbrough,0,0,0,0,0,0,0,0
23,Charlton,0,0,0,0,0,0,0,0
24,Blackburn,0,0,0,0,0,0,0,0
