Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Paris Saint Germain,34,26,6,2,92,35,+57,84
2,Marseille,34,20,5,9,74,47,+27,65
3,Monaco,34,18,7,9,63,41,+22,61
4,Nice,34,17,9,8,66,41,+25,60
5,Lille,34,17,9,8,52,36,+16,60
6,Olympique Lyonnais,34,17,6,11,65,46,+19,57
7,Strasbourg,34,16,9,9,56,44,+12,57
8,Lens,34,15,7,12,42,39,+3,52
9,Brest,34,15,5,14,52,59,-7,50
10,Toulouse,34,11,9,14,44,43,+1,42
11,Auxerre,34,11,9,14,48,51,-3,42
12,Rennes,34,13,2,19,51,50,+1,41
13,Nantes,34,8,12,14,39,52,-13,36
14,Angers,34,10,6,18,32,53,-21,36
15,Le Havre,34,10,4,20,40,71,-31,34
16,Reims,34,8,9,17,33,47,-14,33
17,St Etienne,34,8,6,20,39,77,-38,30
18,Montpellier,34,4,4,26,23,79,-56,16
