Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Napoli,38,24,10,4,59,27,+32,82
2,Inter Milan,38,24,9,5,79,35,+44,81
3,Atalanta,38,22,8,8,78,37,+41,74
4,Juventus,38,18,16,4,58,35,+23,70
5,AS Roma,38,20,9,9,56,35,+21,69
6,Fiorentina,38,19,8,11,60,41,+19,65
7,Lazio,38,18,11,9,61,49,+12,65
8,AC Milan,38,18,9,11,61,43,+18,63
9,Bologna,38,16,14,8,57,47,+10,62
10,Como,38,13,10,15,49,52,-3,49
11,Torino,38,10,14,14,39,45,-6,44
12,Udinese,38,12,8,18,41,56,-15,44
13,Genoa,38,10,13,15,37,49,-12,43
14,Verona,38,10,7,21,34,66,-32,37
15,Cagliari,38,9,9,20,40,56,-16,36
16,Parma,38,7,15,16,44,58,-14,36
17,Lecce,38,8,10,20,27,58,-31,34
18,Empoli,38,6,13,19,33,59,-26,31
19,Venezia,38,5,14,19,32,56,-24,29
20,Monza,38,3,9,26,28,69,-41,18
