Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Benevento,38,26,8,4,67,27,+40,86
2,Crotone,38,20,8,10,63,40,+23,68
3,Spezia,38,17,10,11,54,40,+14,61
4,Pordenone,38,16,10,12,48,46,+2,58
5,Cittadella,38,17,7,14,49,49,0,58
6,Chievo,38,14,14,10,48,38,+10,56
7,Empoli,38,14,12,12,47,48,-1,54
8,Frosinone,38,14,12,12,41,38,+3,54
9,Pisa,38,14,12,12,49,45,+4,54
10,Salernitana,38,14,10,14,53,50,+3,52
11,Venezia,38,12,14,12,37,40,-3,50
12,Cremonese,38,12,13,13,42,43,-1,49
13,Entella,38,12,12,14,46,50,-4,48
14,Ascoli,38,13,7,18,50,58,-8,46
15,Cosenza,38,12,10,16,50,49,+1,46
16,Perugia,38,12,9,17,38,49,-11,45
17,Pescara,38,12,9,17,48,55,-7,45
18,Trapani,38,11,13,14,48,60,-12,44
19,Juve Stabia,38,11,8,19,47,63,-16,41
20,Livorno,38,5,6,27,30,67,-37,21
