Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Barcelona,38,28,4,6,102,39,+63,88
2,Real Madrid,38,26,6,6,78,38,+40,84
3,Atletico Madrid,38,22,10,6,68,30,+38,76
4,Athletic Bilbao,38,19,13,6,54,29,+25,70
5,Villarreal,38,20,10,8,71,51,+20,70
6,Real Betis,38,16,12,10,57,50,+7,60
7,Celta de Vigo,38,16,7,15,59,57,+2,55
8,Rayo Vallecano,38,13,13,12,41,45,-4,52
9,Osasuna,38,12,16,10,48,52,-4,52
10,Real Mallorca,38,13,9,16,35,44,-9,48
11,Real Sociedad,38,13,7,18,35,46,-11,46
12,Valencia,38,11,13,14,44,54,-10,46
13,Getafe,38,11,9,18,34,39,-5,42
14,Espanyol,38,11,9,18,40,51,-11,42
15,Alaves,38,10,12,16,38,48,-10,42
16,Girona,38,11,8,19,44,60,-16,41
17,Sevilla,38,10,11,17,42,55,-13,41
18,Leganes,38,9,13,16,39,56,-17,40
19,Las Palmas,38,8,8,22,40,61,-21,32
20,Real Valladolid,38,4,4,30,26,90,-64,16
