Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Galatasaray,36,28,4,4,83,27,+56,88
2,Fenerbahce,36,25,5,6,87,42,+45,80
3,Besiktas,36,23,9,4,78,36,+42,78
4,Adana Demirspor,36,20,9,7,76,45,+31,69
5,Istanbul Basaksehir,36,18,8,10,54,37,+17,62
6,Trabzonspor,36,17,6,13,64,54,+10,57
7,Fatih Karagumruk,36,13,12,11,75,63,+12,51
8,Konyaspor,36,12,15,9,49,41,+8,51
9,Kayserispor,36,15,5,16,55,61,-6,47
10,Kasimpasa,36,12,7,17,45,61,-16,43
11,Ankaragucu,36,12,6,18,43,53,-10,42
12,Istanbulspor,36,12,5,19,47,63,-16,41
13,Antalyaspor,36,11,8,17,46,55,-9,41
14,Sivasspor,36,11,8,17,46,54,-8,41
15,Alanyaspor,36,11,8,17,54,70,-16,41
16,Giresunspor,36,10,10,16,42,60,-18,40
17,Umraniyespor,36,7,9,20,47,64,-17,30
18,Gazisehir Gaziantep,36,6,7,23,31,72,-41,25
19,Hatayspor,36,6,5,25,19,83,-64,23
